epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3225,1.34444,3.71343,1.15371,0.0043,0.98838,0.45219,0.27175,0.92075,3.4599,0.93387,0.000325,0.000325,0.000325
2,37.7994,1.17665,2.42172,1.05946,0.68081,0.43114,0.68304,0.38772,1.16952,2.60617,1.04229,0.000651816,0.000651816,0.000651816
3,55.3858,1.07797,2.0534,1.05747,0.51856,0.81231,0.65091,0.44208,1.04819,1.8017,1.02804,0.000972032,0.000972032,0.000972032
4,72.3129,1.0459,1.92149,1.07198,0.65466,0.8936,0.76907,0.52753,1.02491,1.39948,1.07918,0.0009703,0.0009703,0.0009703
5,89.8982,1.05572,1.78512,1.05866,0.59331,0.93733,0.70704,0.48561,1.07217,1.40467,1.13218,0.0009604,0.0009604,0.0009604
6,107.443,1.03908,1.6525,1.05341,0.63977,0.88811,0.73053,0.50339,0.98996,1.25809,1.04168,0.0009505,0.0009505,0.0009505
7,124.592,0.99953,1.54887,1.05001,0.62358,0.94628,0.74364,0.52054,0.91326,1.17835,1.02622,0.0009406,0.0009406,0.0009406
8,142.33,0.99349,1.46315,1.0484,0.67017,0.93229,0.75088,0.5416,0.89876,1.08475,1.00729,0.0009307,0.0009307,0.0009307
9,159.817,1.01595,1.40002,1.03125,0.66844,0.93485,0.75127,0.51221,0.98811,1.05227,1.03992,0.0009208,0.0009208,0.0009208
10,176.581,1.00722,1.40191,1.0664,0.66617,0.93598,0.75201,0.52793,0.91859,1.10944,1.05064,0.0009109,0.0009109,0.0009109
11,193.859,0.96251,1.27064,1.03554,0.64722,0.92745,0.74745,0.53307,0.91689,1.04451,1.02285,0.000901,0.000901,0.000901
12,211.55,0.91769,1.21975,1.01718,0.6915,0.92942,0.78598,0.59441,0.87122,0.93288,1.02509,0.0008911,0.0008911,0.0008911
13,228.986,0.96042,1.21943,1.02821,0.65555,0.94726,0.80398,0.58049,0.96392,0.92437,1.0522,0.0008812,0.0008812,0.0008812
14,246.524,0.97951,1.14997,1.05585,0.65893,0.97889,0.74379,0.53382,0.94948,0.92767,1.0648,0.0008713,0.0008713,0.0008713
15,264.332,0.9732,1.12848,1.0475,0.67896,0.9645,0.79123,0.59912,0.87628,0.93592,1.01672,0.0008614,0.0008614,0.0008614
16,281.455,0.87245,1.06964,1.01546,0.69309,0.87023,0.79016,0.59503,0.85687,0.85198,1.02062,0.0008515,0.0008515,0.0008515
17,298.838,0.94757,1.08258,1.048,0.68827,0.94294,0.77815,0.59092,0.82991,0.85693,1.00441,0.0008416,0.0008416,0.0008416
18,316.575,0.8877,1.03226,1.00947,0.68013,0.98971,0.78424,0.57726,0.91233,0.87517,1.03742,0.0008317,0.0008317,0.0008317
19,333.467,0.95435,1.03491,1.0366,0.66747,0.92932,0.77643,0.60152,0.80411,0.84421,1.00302,0.0008218,0.0008218,0.0008218
20,350.235,0.85233,1.00784,0.99434,0.69203,0.94768,0.79656,0.61665,0.80336,0.82086,1.00319,0.0008119,0.0008119,0.0008119
21,368.276,0.90438,0.99041,1.02296,0.61832,0.92482,0.79944,0.61049,0.81353,0.89326,0.99379,0.000802,0.000802,0.000802
22,385.194,0.89743,0.97041,1.02098,0.68923,0.96344,0.81882,0.63742,0.83936,0.80861,1.02403,0.0007921,0.0007921,0.0007921
23,401.748,0.87529,0.94704,1.01152,0.69518,0.97606,0.80418,0.60004,0.84517,0.81239,1.02363,0.0007822,0.0007822,0.0007822
24,419.603,0.82403,0.93359,1.00397,0.69197,0.95907,0.80175,0.63937,0.77298,0.80627,0.97993,0.0007723,0.0007723,0.0007723
25,436.709,0.86349,0.92968,1.02381,0.69132,0.99805,0.80992,0.64847,0.74968,0.78055,0.98948,0.0007624,0.0007624,0.0007624
26,453.75,0.8602,0.92654,1.00392,0.67393,0.98211,0.7785,0.60231,0.81606,0.80477,1.01543,0.0007525,0.0007525,0.0007525
