epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7466,1.41509,5.65345,1.33779,0.60082,0.96019,0.72216,0.50838,1.03723,1.82565,1.17858,0.000326531,0.000326531,0.000326531
2,98.6394,1.16262,1.29685,1.19829,0.61746,0.64302,0.58415,0.42045,1.02873,1.08539,1.22623,0.000653331,0.000653331,0.000653331
3,146.272,1.1401,1.13264,1.21892,0.66869,0.7104,0.63619,0.44376,1.09551,1.51379,1.30389,0.000973532,0.000973532,0.000973532
4,192.746,1.14777,1.10865,1.21287,0.65885,0.78062,0.66465,0.48159,0.99751,1.06294,1.26005,0.0009703,0.0009703,0.0009703
5,240.131,1.0807,1.05187,1.18903,0.67352,0.72919,0.64977,0.4804,1.02325,0.95465,1.26356,0.0009604,0.0009604,0.0009604
6,286.398,1.07751,1.01845,1.20335,0.70691,0.67815,0.64384,0.48318,1.00696,0.92528,1.24032,0.0009505,0.0009505,0.0009505
7,334.228,1.06916,1.01422,1.17959,0.69966,0.86283,0.71228,0.53101,0.87753,0.89797,1.1475,0.0009406,0.0009406,0.0009406
8,381.018,1.03215,0.96128,1.1731,0.75666,0.80006,0.71611,0.54553,0.95531,0.961,1.23991,0.0009307,0.0009307,0.0009307
9,427.96,1.02824,0.97549,1.17664,0.69673,0.56421,0.61727,0.47307,0.88413,0.87232,1.19416,0.0009208,0.0009208,0.0009208
10,475.98,1.01717,0.94688,1.16248,0.67841,0.8321,0.71718,0.56578,0.8953,0.86245,1.18877,0.0009109,0.0009109,0.0009109
11,522.642,0.98705,0.92162,1.14592,0.74384,0.77912,0.72641,0.57341,0.861,0.81866,1.12739,0.000901,0.000901,0.000901
12,570.095,0.94574,0.8914,1.12094,0.68634,0.70026,0.66848,0.52848,0.79392,0.79207,1.11149,0.0008911,0.0008911,0.0008911
13,616.347,0.98706,0.91179,1.14094,0.67576,0.82286,0.68817,0.54906,0.82354,0.79858,1.12819,0.0008812,0.0008812,0.0008812
14,662.415,0.93423,0.8678,1.11718,0.74097,0.65955,0.6828,0.54369,0.87379,0.92739,1.12307,0.0008713,0.0008713,0.0008713
15,708.031,0.93145,0.87301,1.11773,0.72511,0.7735,0.73557,0.57434,0.83915,0.83466,1.09919,0.0008614,0.0008614,0.0008614
16,753.716,0.91625,0.8514,1.11229,0.73157,0.81284,0.75638,0.60674,0.82733,0.73225,1.08405,0.0008515,0.0008515,0.0008515
17,799.263,0.91587,0.84299,1.1151,0.71576,0.83378,0.73021,0.56107,0.85728,0.83216,1.13996,0.0008416,0.0008416,0.0008416
18,846.412,0.91472,0.83532,1.11203,0.74087,0.90295,0.81972,0.59699,1.0186,0.79771,1.24339,0.0008317,0.0008317,0.0008317
19,893.553,0.89797,0.8208,1.09034,0.71636,0.81399,0.73927,0.5769,0.8402,0.77469,1.09708,0.0008218,0.0008218,0.0008218
20,939.387,0.8788,0.8007,1.08318,0.74105,0.89204,0.77699,0.62265,0.72976,0.71578,1.05451,0.0008119,0.0008119,0.0008119
21,984.781,0.86309,0.78253,1.07626,0.77173,0.841,0.7981,0.64081,0.83212,0.76849,1.09028,0.000802,0.000802,0.000802
22,1031.09,0.85645,0.77381,1.06997,0.73577,0.8486,0.75844,0.62954,0.74889,0.70233,1.06011,0.0007921,0.0007921,0.0007921
23,1077.95,0.84017,0.75664,1.06417,0.7557,0.85047,0.77525,0.61855,0.76631,0.71235,1.06605,0.0007822,0.0007822,0.0007822
24,1123.34,0.8258,0.7575,1.05288,0.80249,0.88151,0.84833,0.69096,0.75024,0.66673,1.06183,0.0007723,0.0007723,0.0007723
25,1169.82,0.82755,0.74586,1.0508,0.78474,0.93421,0.88802,0.72776,0.70652,0.60005,1.02769,0.0007624,0.0007624,0.0007624
26,1216.65,0.8454,0.73093,1.06712,0.79319,0.9251,0.885,0.7355,0.7271,0.58392,1.03685,0.0007525,0.0007525,0.0007525
27,1264.45,0.81057,0.73198,1.04742,0.81379,0.93779,0.91793,0.77342,0.65918,0.55147,0.99859,0.0007426,0.0007426,0.0007426
28,1310.04,0.8168,0.70138,1.05684,0.77221,0.90992,0.87206,0.71994,0.71001,0.64493,1.04339,0.0007327,0.0007327,0.0007327
29,1357.11,0.77966,0.68916,1.0431,0.79397,0.94565,0.92319,0.77491,0.64712,0.55439,1.01814,0.0007228,0.0007228,0.0007228
30,1402.99,0.77025,0.66519,1.03541,0.88324,0.86089,0.92444,0.77504,0.67919,0.53315,1.01042,0.0007129,0.0007129,0.0007129
31,1450.21,0.80035,0.68178,1.04791,0.82898,0.90412,0.89093,0.73654,0.69126,0.56179,1.01696,0.000703,0.000703,0.000703
32,1495.9,0.76489,0.64101,1.02942,0.86624,0.89825,0.91736,0.76579,0.69904,0.52464,1.01146,0.0006931,0.0006931,0.0006931
33,1542.67,0.76866,0.65042,1.01986,0.85276,0.91912,0.92038,0.77961,0.65805,0.52163,0.98888,0.0006832,0.0006832,0.0006832
34,1588.85,0.75078,0.64569,1.02269,0.85239,0.87652,0.89539,0.75668,0.63907,0.53932,0.97184,0.0006733,0.0006733,0.0006733
35,1635.1,0.75915,0.64732,1.03519,0.86648,0.92631,0.94099,0.80502,0.6182,0.50715,0.9744,0.0006634,0.0006634,0.0006634
36,1681.67,0.76498,0.6293,1.01874,0.85817,0.94725,0.94038,0.79834,0.62815,0.4583,0.97956,0.0006535,0.0006535,0.0006535
37,1728.16,0.75523,0.63133,1.03795,0.85332,0.92154,0.92094,0.77441,0.66459,0.51607,1.01179,0.0006436,0.0006436,0.0006436
38,1775.23,0.73473,0.62725,1.0126,0.86921,0.92781,0.9332,0.79907,0.63793,0.47855,1.01445,0.0006337,0.0006337,0.0006337
39,1821.14,0.72278,0.61167,1.00632,0.86835,0.87371,0.90646,0.75964,0.64351,0.51447,0.97661,0.0006238,0.0006238,0.0006238
40,1867.97,0.72689,0.60019,1.00463,0.85544,0.91915,0.91976,0.79482,0.59617,0.479,0.95353,0.0006139,0.0006139,0.0006139
41,1914.51,0.73246,0.60668,1.01159,0.88969,0.9085,0.93263,0.80988,0.58931,0.48748,0.95996,0.000604,0.000604,0.000604
42,1961.29,0.70475,0.60165,0.99712,0.85271,0.95329,0.94295,0.80782,0.61196,0.47882,0.96351,0.0005941,0.0005941,0.0005941
43,2007.11,0.70097,0.58411,0.98925,0.88053,0.94939,0.95885,0.82867,0.59638,0.4634,0.9516,0.0005842,0.0005842,0.0005842
44,2054,0.71819,0.58894,1.00366,0.87536,0.93779,0.94072,0.82561,0.55812,0.4282,0.94291,0.0005743,0.0005743,0.0005743
45,2100.04,0.69886,0.58006,0.99254,0.84978,0.91411,0.93124,0.79968,0.6116,0.45293,0.94849,0.0005644,0.0005644,0.0005644
46,2146.94,0.68917,0.58409,0.98718,0.83875,0.97258,0.94506,0.83126,0.5497,0.44321,0.93132,0.0005545,0.0005545,0.0005545
47,2193.19,0.67363,0.55989,0.99027,0.86112,0.92562,0.93323,0.79933,0.63324,0.44378,0.95241,0.0005446,0.0005446,0.0005446
48,2240.41,0.66912,0.57089,0.98372,0.84833,0.94905,0.94246,0.81271,0.56178,0.4441,0.93984,0.0005347,0.0005347,0.0005347
49,2286.5,0.65885,0.53922,0.97106,0.87972,0.91599,0.93713,0.82523,0.54151,0.4217,0.9331,0.0005248,0.0005248,0.0005248
50,2333.78,0.67912,0.54326,0.98778,0.85601,0.96491,0.94907,0.83308,0.54392,0.43708,0.93035,0.0005149,0.0005149,0.0005149
51,2380.28,0.64381,0.56346,0.97358,0.84743,0.93902,0.93351,0.82574,0.54002,0.46614,0.92252,0.000505,0.000505,0.000505
52,2426.68,0.65275,0.53851,0.96215,0.86592,0.9514,0.93941,0.82367,0.56178,0.4163,0.93661,0.0004951,0.0004951,0.0004951
